course_id,course_title,university,department,difficulty,rating,num_subscribers,num_reviews,num_lectures,content_duration,is_paid,price,description
1070968,Ultimate Investment Banking Course,Harvard University,Business & Finance,All Levels,3.9,2147,23,51,1.5 hours,True,200.0,"A comprehensive all levels level course on Ultimate Investment Banking Course. Includes 51 lectures spanning 1.5 hours of content. Trusted by 2,147 students worldwide."
1113822,Complete GST Course & Certification - Grow Your CA Practice,Georgia Tech,Business & Finance,All Levels,4.1,2792,923,274,39 hours,True,75.0,"A comprehensive all levels level course on Complete GST Course & Certification - Grow Your CA Practice. Includes 274 lectures spanning 39 hours of content. Trusted by 2,792 students worldwide."
1006314,Financial Modeling for Business Analysts and Consultants,Johns Hopkins University,Business & Finance,Intermediate,3.8,2174,74,51,2.5 hours,True,45.0,"A comprehensive intermediate level course on Financial Modeling for Business Analysts and Consultants. Includes 51 lectures spanning 2.5 hours of content. Trusted by 2,174 students worldwide."
1210588,Beginner to Pro - Financial Analysis in Excel 2017,Harvard University,Business & Finance,All Levels,3.9,2451,11,36,3 hours,True,95.0,"A comprehensive all levels level course on Beginner to Pro - Financial Analysis in Excel 2017. Includes 36 lectures spanning 3 hours of content. Trusted by 2,451 students worldwide."
1011058,How To Maximize Your Profits Trading Options,UCLA,Business & Finance,Intermediate,4.0,1276,45,26,2 hours,True,200.0,"A comprehensive intermediate level course on How To Maximize Your Profits Trading Options. Includes 26 lectures spanning 2 hours of content. Trusted by 1,276 students worldwide."
192870,Trading Penny Stocks: A Guide for All Levels In 2017,Harvard University,Business & Finance,All Levels,3.5,9221,138,25,3 hours,True,150.0,"A comprehensive all levels level course on Trading Penny Stocks: A Guide for All Levels In 2017. Includes 25 lectures spanning 3 hours of content. Trusted by 9,221 students worldwide."
739964,Investing And Trading For Beginners: Mastering Price Charts,Carnegie Mellon University,Business & Finance,Beginner,3.9,1540,178,26,1 hour,True,65.0,"A comprehensive beginner level course on Investing And Trading For Beginners: Mastering Price Charts. Includes 26 lectures spanning 1 hour of content. Trusted by 1,540 students worldwide."
403100,"Trading Stock Chart Patterns For Immediate, Explosive Gains",UCLA,Business & Finance,All Levels,3.6,2917,148,23,2.5 hours,True,95.0,"A comprehensive all levels level course on Trading Stock Chart Patterns For Immediate, Explosive Gains. Includes 23 lectures spanning 2.5 hours of content. Trusted by 2,917 students worldwide."
476268,Options Trading 3 : Advanced Stock Profit and Success Method,Stanford University,Business & Finance,Advanced,3.9,5172,34,38,2.5 hours,True,195.0,"A comprehensive advanced level course on Options Trading 3 : Advanced Stock Profit and Success Method. Includes 38 lectures spanning 2.5 hours of content. Trusted by 5,172 students worldwide."
1167710,The Only Investment Strategy You Need For Your Retirement,University of Oxford,Business & Finance,All Levels,3.5,827,14,15,1 hour,True,200.0,A comprehensive all levels level course on The Only Investment Strategy You Need For Your Retirement. Includes 15 lectures spanning 1 hour of content. Trusted by 827 students worldwide.
